1 1:0.006848261003385657 2:-2250.2 3:-41.0 4:-3.2 5:0.0 6:0.027931671283471838 7:0.07232994767620807 8:0.0026161895967990153 9:5.386272699292089E-4 10:0.013004001231148046 11:-2162.8 12:-8.0 13:-123.2 14:-0.3999999999999999 15:0.03855032317636196 16:0.011695906432748537 17:0.19783010156971376 18:0.0024622960911049553 19:0.028701138811942136 20:-1996.2 21:-7.199999999999999 22:-281.0 23:-10.0 24:0.03193290243151739 25:0.013157894736842105 26:0.47076023391812866 27:0.018467220683287166 28:0.01648517846339988 29:-2336.6 30:-4.6 31:-109.8 32:-9.0 33:0.02926497277676951 34:0.00824258923169994 35:0.17158197217180884 36:0.01648517846339988 37:0.022686025408348458 38:-2204.6 39:-4.4 40:-250.4 41:-0.6000000000000001 42:0.005369026013309135 43:0.00809134906231095 44:0.41727162734422263 45:0.00279794313369631 46:0.014897156684815487 47:-2344.8 48:-47.6 49:-65.4 50:-2.2 51:0.07320024198427103 52:0.07993042952208107 53:0.09603750756200848 54:0.0034029038112522686 55:2.967957423303212 56:-10.124671655397817 57:0.01821598645156741
1 1:0.009259259259259259 2:-2190.0 3:-30.2 4:-13.6 5:-6.2 6:0.04933084344849051 7:0.05267662620603797 8:0.01610644257703081 9:0.015017117958294428 10:0.029723000311235606 11:-1957.8 12:-22.8 13:-252.6 14:-6.8 15:0.05399937752878929 16:0.04403983815748522 17:0.41721132897603486 18:0.014005602240896359 19:0.02178649237472767 20:-2036.6 21:-5.2 22:-194.8 23:-3.4000000000000004 24:0.016262060379707437 25:0.011749144102085279 26:0.3033769063180828 27:0.0070028011204481795 28:0.014575702075702076 29:-2275.6 30:-1.6 31:-156.4 32:-2.4 33:0.005876068376068376 34:0.005570818070818071 35:0.24206349206349206 36:0.004731379731379731 37:0.028922466422466424 38:-2102.8 39:-18.2 40:-297.8 41:-17.2 42:0.030143467643467644 43:0.030677655677655676 44:0.4781746031746032 45:0.032280219780219783 46:0.017017704517704516 47:-2316.0 48:-45.8 49:-74.6 50:0.4 51:0.0876068376068376 52:0.08516483516483517 53:0.11637667887667888 54:9.157509157509158E-4 55:3.624988420678312 56:-4.9165660060100205 57:0.020620163961880964
1 1:0.006457838479809976 2:-2301.2 3:-22.0 4:-9.0 5:1.0 6:0.04579869358669834 7:0.03570368171021378 8:0.010095011876484561 9:0.0 10:0.030062351543942992 11:-2058.0 12:-9.4 13:-256.2 14:-7.6 15:0.05522565320665083 16:0.013657957244655582 17:0.4064726840855107 18:0.011728028503562945 19:0.02345605700712589 20:-2122.0 21:-8.2 22:-199.0 23:-2.0 24:0.017146674584323042 25:0.019076603325415678 26:0.302479216152019 27:0.005418646080760095 28:0.016592261904761905 29:-2341.0 30:-5.2 31:-151.6 32:-0.6000000000000001 33:0.008407738095238095 34:0.014657738095238095 35:0.23601190476190476 36:0.002380952380952381 37:0.025074404761904763 38:-2198.2 39:-5.8 40:-287.8 41:-6.6 42:0.010193452380952381 43:0.008110119047619048 44:0.4608630952380952 45:0.011532738095238096 46:0.01837797619047619 47:-2349.4 48:-31.799999999999997 49:-114.4 50:-2.8 51:0.10119047619047619 52:0.05044642857142857 53:0.16949404761904763 54:0.005505952380952381 55:4.382210322773131 56:-4.546483382717999 57:0.020430120710390912
1 1:0.0068256194483403455 2:-1805.4 3:-21.8 4:-11.2 5:1.0 6:0.043478260869565216 7:0.04329125759700795 8:0.01131369798971482 9:0.0 10:0.022720897615708276 11:-1653.0 12:-4.6 13:-178.4 14:-1.4 15:0.044974287050023376 16:0.010659186535764377 17:0.36671341748480596 18:0.006732117812061711 19:0.03955119214586255 20:-1569.0 21:-10.2 22:-256.2 23:-2.0 24:0.016549789621318374 25:0.01860682561944834 26:0.5099579242636746 27:0.0073866292660121555 28:0.0211441647597254 29:-1850.6 30:-8.6 31:-155.0 32:-2.0 33:0.010983981693363844 34:0.0162929061784897 35:0.30297482837528605 36:0.006132723112128147 37:0.026361556064073227 38:-1754.4 39:-0.6000000000000001 40:-260.6 41:-0.6000000000000001 42:0.005491990846681922 43:0.0019221967963386727 44:0.5358352402745995 45:0.0043020594965675054 46:0.022242562929061786 47:-1854.0 48:-31.4 49:-128.4 50:-2.4 51:0.09565217391304348 52:0.06077803203661327 53:0.2359725400457666 54:0.007780320366132723 55:3.6366333133880104 56:-7.395277455395934 57:0.02371372348084979
1 1:0.007137345679012345 2:-1803.8 3:-11.2 4:0.4 5:1.0 6:0.08439429012345678 7:0.029128086419753087 8:3.8580246913580245E-4 9:0.0 10:0.01427469135802469 11:-1717.4 12:-4.0 13:-91.4 14:-0.8 15:0.06597222222222222 16:0.009259259259259259 17:0.1918402777777778 18:0.005401234567901234 19:0.038580246913580245 20:-1491.4 21:-8.0 22:-307.4 23:-6.8 24:0.017939814814814815 25:0.018036265432098766 26:0.6598186728395061 27:0.022569444444444444 28:0.013257575757575758 29:-1845.8 30:-0.8 31:-96.0 32:-3.8 33:0.00975378787878788 34:0.004450757575757576 35:0.19810606060606062 36:0.015151515151515152 37:0.021780303030303032 38:-1741.6 39:-6.8 40:-197.2 41:-0.8 42:0.010416666666666666 43:0.013920454545454545 44:0.4153409090909091 45:0.004261363636363636 46:0.02452651515151515 47:-1795.0 48:-16.0 49:-133.8 50:-1.6 51:0.1574810606060606 52:0.035890151515151514 53:0.2765151515151515 54:0.007007575757575758 55:2.620097395342531 56:-10.286902285352378 57:0.02020599374304765
1 1:0.01125 2:-1517.8 3:-33.0 4:-26.4 5:-2.8 6:0.025833333333333333 7:0.07385416666666667 8:0.0425 9:0.0109375 10:0.03666666666666667 11:-1295.2 12:-13.0 13:-264.4 14:-7.4 15:0.03875 16:0.029583333333333333 17:0.6010416666666667 18:0.024583333333333332 19:0.026875 20:-1418.2 21:-2.4 22:-157.0 23:-2.4 24:0.0128125 25:0.006875 26:0.3589583333333333 27:0.009583333333333333 28:0.023369233895549686 29:-1612.4 30:0.6 31:-189.2 32:-1.0 33:0.002438528754318228 34:0.001016053647632595 35:0.41211135947978056 36:0.006401137980085348 37:0.03759398496240601 38:-1507.0 39:-17.0 40:-262.8 41:-15.2 42:0.01798414956309693 43:0.03881324933956513 44:0.5558829506197928 45:0.043690306848201584 46:0.01808575492786019 47:-1680.6 48:-40.8 49:-80.2 50:-0.3999999999999999 51:0.06004877057508636 52:0.08575492786019102 53:0.19000203210729527 54:0.0031497663076610447 55:5.404921202314389 56:-3.0509490674180832 57:0.027045958083743323
1 1:0.0148975791433892 2:-1528.2 3:-26.8 4:-66.2 5:-3.2 6:0.04965859714463067 7:0.0590730395199669 8:0.11638733705772812 9:0.010448996482516036 10:0.034347196358369546 11:-1362.6 12:-8.2 13:-240.8 14:-12.8 15:0.07241878750258639 16:0.015932133250569004 17:0.5437616387337058 18:0.032071177322573974 19:0.029484792054624457 20:-1441.2 21:-10.4 22:-171.8 23:-1.0 24:0.014690668321953239 25:0.021622180840057934 26:0.37699151665632114 27:0.004965859714463066 28:0.0237576512086316 29:-1608.4 30:-6.0 31:-146.6 32:-6.0 33:0.007469654528478058 34:0.012345679012345678 35:0.29069405539993776 36:0.01763668430335097 37:0.03776325344952796 38:-1454.0 39:-22.8 40:-274.6 41:-15.600000000000001 42:0.027699968876439465 43:0.04429920116194626 44:0.6187363834422658 45:0.040253138292353975 46:0.01732544869799772 47:-1681.2 48:-22.0 49:-61.8 50:-2.0 51:0.12335304492167237 52:0.04886399004046063 53:0.12739910779126465 54:0.004253553273161116 55:4.403993216388963 56:-2.4401052143160773 57:0.02699964422231711
1 1:0.005648148148148148 2:-1806.8 3:-30.8 4:-10.6 5:1.0 6:0.012777777777777779 7:0.058333333333333334 8:0.011666666666666667 9:0.0 10:0.015925925925925927 11:-1751.6 12:-10.4 13:-74.0 14:-11.2 15:0.07148148148148148 16:0.022314814814814815 17:0.12277777777777778 18:0.02185185185185185 19:0.04037037037037037 20:-1554.8 21:-4.6 22:-283.6 23:-4.2 24:0.008796296296296297 25:0.008981481481481481 26:0.5539814814814815 27:0.01138888888888889 28:0.017962962962962962 29:-1876.8 30:-0.3999999999999999 31:-111.6 32:-2.4 33:0.001388888888888889 34:0.001851851851851852 35:0.1960185185185185 36:0.005740740740740741 37:0.025092592592592593 38:-1752.4 39:-3.4000000000000004 40:-224.2 41:-11.2 42:0.0076851851851851855 43:0.0076851851851851855 44:0.4326851851851852 45:0.021944444444444444 46:0.01888888888888889 47:-1861.6 48:-46.8 49:-82.2 50:-0.6000000000000001 51:0.08907407407407407 52:0.09129629629629629 53:0.14962962962962964 54:0.005092592592592593 55:4.001593546987059 56:-6.286893361736462 57:0.02110634974758424
1 1:0.0060302361134703586 2:-1975.0 3:-21.0 4:-11.0 5:1.0 6:0.03541702055376253 7:0.044250042466451506 8:0.01265500254798709 9:0.0 10:0.015627654153218956 11:-1904.6 12:-5.4 13:-77.6 14:-18.4 15:0.08824528622388313 16:0.009597418039748598 17:0.1155936809920163 18:0.042636317309325635 19:0.03957873280108714 20:-1712.6 21:-4.4 22:-285.2 23:-3.8 24:0.007219296755563105 25:0.009937149651775098 26:0.5236113470358417 27:0.011041277390861219 28:0.02155638784852268 29:-2052.8 30:-0.6000000000000001 31:-167.4 32:-2.2 33:0.001165210153974199 34:0.004161464835622139 35:0.30969621306699957 36:0.007157719517270079 37:0.024302954640033292 38:-1962.0 39:-4.4 40:-246.0 41:-10.6 42:0.016063254265501457 43:0.008239700374531835 44:0.4241364960466084 45:0.02213899292550978 46:0.020557636287973368 47:-2084.8 48:-29.0 49:-99.0 50:-10.2 51:0.12825634623387433 52:0.055513940907199334 53:0.17245110278818143 54:0.027215980024968788 55:4.556577300366458 56:-4.004172940709388 57:0.022643454964379535
1 1:0.009341199606686333 2:-1996.6 3:-16.6 4:-41.8 5:-1.7999999999999998 6:0.045394952474598495 7:0.03367748279252704 8:0.06448705342510652 9:0.005571943625040971 10:0.034005244182235335 11:-1731.4 12:-7.0 13:-312.8 14:-5.6 15:0.0867748279252704 16:0.012946574893477548 17:0.550475254015077 18:0.0161422484431334 19:0.02728613569321534 20:-1801.6 21:-6.8 22:-247.2 23:-1.2000000000000002 24:0.029088823336610947 25:0.013356276630612915 26:0.45689937725335955 27:0.005653883972468043 28:0.0205761316872428 29:-2031.0 30:-3.5999999999999996 31:-206.6 32:-3.2 33:0.014238683127572016 34:0.006172839506172839 35:0.3911934156378601 36:0.012757201646090535 37:0.03349794238683128 38:-1884.2 39:-10.8 40:-342.8 41:-6.6 42:0.04296296296296296 43:0.016872427983539096 44:0.5846913580246914 45:0.01670781893004115 46:0.016625514403292182 47:-2142.8 48:-22.6 49:-77.8 50:-1.2000000000000002 51:0.13218106995884774 52:0.051111111111111114 53:0.1297119341563786 54:0.00551440329218107 55:5.591176083794894 56:-4.359407844344817 57:0.02408929677431724
1 1:0.008868558625840179 2:-1744.8 3:-24.2 4:-23.2 5:1.0 6:0.030619865571321882 7:0.05759895444361464 8:0.031179985063480208 9:0.0 10:0.02007094846900672 11:-1671.8 12:-26.2 13:-86.6 14:-6.6 15:0.05339805825242718 16:0.059932785660941 17:0.13694921583271097 18:0.01689693801344287 19:0.04051530993278566 20:-1519.0 21:-6.6 22:-262.2 23:-3.4000000000000004 24:0.012976101568334578 25:0.01278939507094847 26:0.5350074682598954 27:0.011109036594473487 28:0.021251039453016724 29:-1804.4 30:-0.6000000000000001 31:-185.6 32:-0.3999999999999999 33:0.0012935415319227572 34:0.0025870830638455144 35:0.37392589854938557 36:0.00397302041947704 37:0.02938187193938834 38:-1736.8 39:-20.4 40:-224.6 41:-9.2 42:0.01302781114293634 43:0.041855308140072066 44:0.41088422803289293 45:0.0236533308694447 46:0.021897810218978103 47:-1846.8 48:-49.4 49:-94.6 50:-0.19999999999999996 51:0.08943915735008777 52:0.11475561304629031 53:0.17629123163633004 54:0.0018479164741753672 55:5.207401297276255 56:-1.6929784376289005 57:0.02480917335227989
